"Min","GilNK","TeudaGvoha","MachozMegurim","WFH_Exposure","n_cell"
1,"7","Other/No Certificate","7",0.173427852531144,699.203961
1,"7",NA,"1",0.167381049673643,2131.257907
1,"7",NA,"2",0.185091659131322,8117.176856
1,"7",NA,"3",0.177171742795717,3308.051413
1,"7",NA,"4",0.170739299896767,12367.941194
1,"7",NA,"5",0.169034083378767,6904.461529
1,"7",NA,"6",0.167790729220651,8742.063827
1,"7",NA,"7",0.219809744450991,1775.139644
2,"3","Below High School","1",0.190794551404711,10672.302864
2,"3","Below High School","2",0.11095533343012,34262.295312
2,"3","Below High School","3",0.157021798498707,19103.284073
2,"3","Below High School","4",0.158157005922316,42700.556728
2,"3","Below High School","5",0.185498674678954,22483.253028
2,"3","Below High School","6",0.122240640552041,27619.889531
2,"3","Below High School","7",0.262798668446967,5583.839848
2,"3","High School (no matriculation)","1",0.188309832894585,76020.172525
2,"3","High School (no matriculation)","2",0.193474283206696,95813.707695
2,"3","High School (no matriculation)","3",0.206579592070348,82106.678677
2,"3","High School (no matriculation)","4",0.221083484258104,165845.963944
2,"3","High School (no matriculation)","5",0.244822567416573,95031.874305
2,"3","High School (no matriculation)","6",0.225284394247817,108068.202256
2,"3","High School (no matriculation)","7",0.336064954148838,43482.502856
2,"3","Matriculation (Bagrut)","1",0.247731771630988,168697.080083
2,"3","Matriculation (Bagrut)","2",0.197554816468474,278396.651051
2,"3","Matriculation (Bagrut)","3",0.246877583232334,239469.12947
2,"3","Matriculation (Bagrut)","4",0.220739425032526,494362.906653
2,"3","Matriculation (Bagrut)","5",0.265927346466865,380334.137053
2,"3","Matriculation (Bagrut)","6",0.226965898476895,270791.049424
2,"3","Matriculation (Bagrut)","7",0.208483994737266,65800.74731
2,"3","Post-secondary, non-academic","1",0.259839046962401,196956.51809
2,"3","Post-secondary, non-academic","2",0.183759439910796,132389.912323
2,"3","Post-secondary, non-academic","3",0.205209124713139,86422.141964
2,"3","Post-secondary, non-academic","4",0.225402237249873,148917.371435
2,"3","Post-secondary, non-academic","5",0.24137396653656,208176.857263
2,"3","Post-secondary, non-academic","6",0.219933193518834,142872.026465
2,"3","Post-secondary, non-academic","7",0.241632750781828,102368.08318
2,"3","Academic Degree (BA/MA/PhD)","1",0.255864906813331,378673.376586
2,"3","Academic Degree (BA/MA/PhD)","2",0.222593100831128,317432.064511
2,"3","Academic Degree (BA/MA/PhD)","3",0.267739864893334,373097.769606
2,"3","Academic Degree (BA/MA/PhD)","4",0.25087585745114,756611.576403
2,"3","Academic Degree (BA/MA/PhD)","5",0.304739147487197,802191.506841
2,"3","Academic Degree (BA/MA/PhD)","6",0.218864758288546,379670.30232
2,"3","Academic Degree (BA/MA/PhD)","7",0.22996426874705,174341.510032
2,"3","Other/No Certificate","1",0.344878643789176,3551.258874
2,"3","Other/No Certificate","2",0.405226003300907,7971.488451
2,"3","Other/No Certificate","3",0.241219330396215,8099.999128
2,"3","Other/No Certificate","4",0.121036859481089,18423.602025
2,"3","Other/No Certificate","5",0.311585187086001,19937.882492
2,"3","Other/No Certificate","6",0.0771805567485452,8318.234998
2,"3","Other/No Certificate","7",0.242636466799247,6057.959031
2,"3",NA,"1",0.239702628244033,9256.75674
2,"3",NA,"2",0.184494903879457,12597.186419
2,"3",NA,"3",0.279072729568426,7950.990553
2,"3",NA,"4",0.233976152316488,30901.000498
2,"3",NA,"5",0.242672276789951,31242.770619
2,"3",NA,"6",0.203378812066946,10397.168258
2,"3",NA,"7",0.287077763167489,2889.721568
2,"4","Below High School","1",0.170292986566119,22094.796482
2,"4","Below High School","2",0.198900359152424,28254.038444
2,"4","Below High School","3",0.144456738785402,33758.293732
2,"4","Below High School","4",0.138983018192489,35455.976084
2,"4","Below High School","5",0.197705088871359,24798.851054
2,"4","Below High School","6",0.111445727700866,26022.552954
2,"4","Below High School","7",0.17881961717268,1722.092269
2,"4","High School (no matriculation)","1",0.237861755171519,48542.963862
2,"4","High School (no matriculation)","2",0.216237409757706,90212.586014
2,"4","High School (no matriculation)","3",0.180961866241904,62389.405429
2,"4","High School (no matriculation)","4",0.22140802604575,140571.143981
2,"4","High School (no matriculation)","5",0.242727810922277,123896.748972
2,"4","High School (no matriculation)","6",0.207935651151111,86159.003463
2,"4","High School (no matriculation)","7",0.293576759561314,34738.80933
2,"4","Matriculation (Bagrut)","1",0.232853013801403,104620.297003
2,"4","Matriculation (Bagrut)","2",0.188492301653604,235713.384243
